REGION,TECHNOLOGY,YEAR,VALUE
ISRAEL,PWR_NGCC,2015,900.0
ISRAEL,PWR_NGCC,2016,882.0
ISRAEL,PWR_NGCC,2017,864.3599999999999
ISRAEL,PWR_NGCC,2018,847.0727999999999
ISRAEL,PWR_NGCC,2019,830.1313439999999
ISRAEL,PWR_NGCC,2020,813.5287171199999
ISRAEL,PWR_NGCC,2021,797.2581427775999
ISRAEL,PWR_NGCC,2022,781.3129799220479
ISRAEL,PWR_NGCC,2023,765.6867203236069
ISRAEL,PWR_NGCC,2024,750.3729859171348
ISRAEL,PWR_NGCC,2025,735.365526198792
ISRAEL,PWR_NGCC,2026,720.6582156748162
ISRAEL,PWR_NGCC,2027,706.2450513613198
ISRAEL,PWR_NGCC,2028,692.1201503340934
ISRAEL,PWR_NGCC,2029,678.2777473274116
ISRAEL,PWR_NGCC,2030,664.7121923808634
ISRAEL,PWR_NGCC,2031,651.417948533246
ISRAEL,PWR_NGCC,2032,638.3895895625811
ISRAEL,PWR_NGCC,2033,625.6217977713294
ISRAEL,PWR_NGCC,2034,613.1093618159028
ISRAEL,PWR_NGCC,2035,600.8471745795848
ISRAEL,PWR_NGCC,2036,588.8302310879931
ISRAEL,PWR_NGCC,2037,577.0536264662333
ISRAEL,PWR_NGCC,2038,565.5125539369086
ISRAEL,PWR_NGCC,2039,554.2023028581705
ISRAEL,PWR_NGCC,2040,543.118256801007
ISRAEL,PWR_NGCC,2041,532.2558916649868
ISRAEL,PWR_NGCC,2042,521.6107738316871
ISRAEL,PWR_NGCC,2043,511.1785583550533
ISRAEL,PWR_NGCC,2044,500.95498718795227
ISRAEL,PWR_NGCC,2045,490.9358874441932
ISRAEL,PWR_NGCC,2046,481.1171696953093
ISRAEL,PWR_NGCC,2047,471.4948263014031
ISRAEL,PWR_NGCC,2048,462.0649297753751
ISRAEL,PWR_NGCC,2049,452.82363117986756
ISRAEL,PWR_NGCC,2050,443.7671585562702
ISRAEL,PWR_NGCC_CCS,2015,1500.0
ISRAEL,PWR_NGCC_CCS,2016,1470.0
ISRAEL,PWR_NGCC_CCS,2017,1440.6
ISRAEL,PWR_NGCC_CCS,2018,1411.7879999999998
ISRAEL,PWR_NGCC_CCS,2019,1383.5522399999998
ISRAEL,PWR_NGCC_CCS,2020,1355.8811951999999
ISRAEL,PWR_NGCC_CCS,2021,1328.7635712959998
ISRAEL,PWR_NGCC_CCS,2022,1302.1882998700798
ISRAEL,PWR_NGCC_CCS,2023,1276.1445338726783
ISRAEL,PWR_NGCC_CCS,2024,1250.6216431952246
ISRAEL,PWR_NGCC_CCS,2025,1225.6092103313201
