REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
ISRAEL,PWR_Solar_Utility,SUMMER_DAY,2015,0.30000000000000004
ISRAEL,PWR_Solar_Utility,SUMMER_NIGHT,2015,0.0
ISRAEL,PWR_Solar_Utility,WINTER_DAY,2015,0.30000000000000004
ISRAEL,PWR_Solar_Utility,WINTER_NIGHT,2015,0.0
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_DAY,2015,0.30000000000000004
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_NIGHT,2015,0.0
ISRAEL,PWR_Solar_Utility,SUMMER_DAY,2016,0.30000000000000004
ISRAEL,PWR_Solar_Utility,SUMMER_NIGHT,2016,0.0
ISRAEL,PWR_Solar_Utility,WINTER_DAY,2016,0.30000000000000004
ISRAEL,PWR_Solar_Utility,WINTER_NIGHT,2016,0.0
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_DAY,2016,0.30000000000000004
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_NIGHT,2016,0.0
ISRAEL,PWR_Solar_Utility,SUMMER_DAY,2017,0.30000000000000004
ISRAEL,PWR_Solar_Utility,SUMMER_NIGHT,2017,0.0
ISRAEL,PWR_Solar_Utility,WINTER_DAY,2017,0.30000000000000004
ISRAEL,PWR_Solar_Utility,WINTER_NIGHT,2017,0.0
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_DAY,2017,0.30000000000000004
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_NIGHT,2017,0.0
ISRAEL,PWR_Solar_Utility,SUMMER_DAY,2018,0.30000000000000004
ISRAEL,PWR_Solar_Utility,SUMMER_NIGHT,2018,0.0
ISRAEL,PWR_Solar_Utility,WINTER_DAY,2018,0.30000000000000004
ISRAEL,PWR_Solar_Utility,WINTER_NIGHT,2018,0.0
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_DAY,2018,0.30000000000000004
ISRAEL,PWR_Solar_Utility,INTERMEDIATE_NIGHT,2018,0.0
ISRAEL,PWR_Solar_Utility,SUMMER_DAY,2019,0.30000000000000004
